"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type"
76518,"ref","journal article","Troisième note sur les ébriacées",1932,"R.","Hovasse","","","","",NA,"Bulletin de La Societe Zoologique de France",NA,NA,NA,NA,NA,NA,"57","","278","283","English","","auth,class"
79646,"ref","journal article","Note préliminaire sur les Ebriacées:",1932,"R.","Hovasse","","","","",NA,"Bulletin de le Société Zoologique de France",NA,NA,NA,NA,NA,NA,"57","","118","131","English","","auth,class"
23823,"ref","journal article","Eocene marine algae (Lithothamnieae) from the Sierra Blanca Limestone",1934,"M. A.","Howe","","","","",NA,"Geological Society America Bulletin",NA,NA,NA,NA,NA,NA,"45","","507","518","English","","auth"
82916,"ref","journal article","A proto-monsoonal climate in the late Eocene of Southeast Asia: evidence from a sedimentary record in central Myanmar",2023,"H.","Huang","R. J.","Morley","A. Licht, G. Dupont-Nivet, D. Pérez-Pinedo, J. Westerweel, Z. Win, D. Wa Aung, E. Budi Lelono, G. N. Aleksandrova, R. K. Saxena, C. Hoorn","",NA,"Geoscience Frontiers",NA,NA,NA,NA,NA,NA,"14","1","101457","","English","10.1016/j.gsf.2022.101457","auth,class"
80598,"ref","journal article","Fossil leaves of Buxus (Buxaceae) from the Upper Pliocene of Yunnan, SW China",2018,"H. S.","Huang","T.","Su","Z. K. Zhou","",NA,"Palaeoworld",NA,NA,NA,NA,NA,NA,"27","2","271","281","English","10.1016/j.palwor.2017.12.003","auth,class"
80590,"ref","journal article","Systematic descriptions, in The occurrence of Quercus heqingensis n. sp. and its application to palaeo-CO2 estimates",2015,"H. S.","Huang","Z. K.","Zhou","","",NA,"Chinese Science Bulletin",NA,NA,NA,NA,NA,NA,"61","","1354","1364","Chinese","10.1360/N972014-01370 ","auth,class"
80374,"ref","journal article","Systematic descriptions, in A fossil fig from the Miocene of southwestern China: Indication of persistent deep time karst vegetation",2018,"J.","Huang","Z. K.","Zhou","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"258","","133","145","English","10.1016/j.revpalbo.2018.07.005","auth,class"
80376,"ref","journal article","Systematic descriptions, in The oldest Mahonia (Berberidaceae) fossil from East Asia and its biogeographic implications",2015,"J.","Huang","Z. K.","Zhou","","",NA,"Journal of Plant Research",NA,NA,NA,NA,NA,NA,"129","","209","223","English","10.1007/s10265-015-0775-y","auth,class"
80776,"ref","journal article","New fossil endocarps of Sambucus (Adoxaceae) from the upper Pliocene in SW China",2012,"Y. J.","Huang","F. M. B.","Jacques","Y. S. Liu, T. Su, Y. W. Xing, X. H. Xiao, Z. K. Zhou","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"171","","152","163","English","10.1016/j.revpalbo.2011.11.008","class"
80775,"ref","journal article","Systematic descriptions, in New fossil endocarps of Sambucus (Adoxaceae) from the upper Pliocene in SW China",2012,"Y. J.","Huang","Y. S.","Liu","Z. K. Zhou","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"171","","152","163","English","10.1016/j.revpalbo.2011.11.008","auth,class"
80778,"ref","journal article","Systematic descriptions, in First discovery of Cucubalus (Caryophyllaceae) fossil, and its biogeographical and ecological implications",2013,"Y. J.","Huang","Y. S.","Liu","Z. K. Zhou","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"190","","41","47","English","10.1016/j.revpalbo.2012.11.011","auth,class"
80779,"ref","journal article","Late Pliocene diversity and distribution of Drynaria (Polypodiaceae) in western Yunnan explained by forest vegetation and humid climates",2016,"Y. J.","Huang","T.","Su","Z. K. Zhou","",NA,"Plant Diversity",NA,NA,NA,NA,NA,NA,"38","4","194","200","English","10.1016/j.pld.2016.06.003","auth,class"
80777,"ref","journal article","Systematic descriptions, in Fossil seeds of Euryale (Nymphaeaceae) indicate a lake or swamp environment in the late Miocene Zhaotong Basin of southwestern China",2015,"Y. J.","Huang","Z. K.","Zhou","","",NA,"Science Bulletin",NA,NA,NA,NA,NA,NA,"60","20","1768","1777","English","10.1007/s11434-015-0870-4","auth,class"
80589,"ref","journal article","Rise of herbaceous diversity at the southeastern margin of the Tibetan Plateau: First insight from fossils",2021,"Y. J.","Huang","H.","Zhu","T. Su, R. A. Spicer, J. J. Hu, L. B. Jia, Z. K. Zhou","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"","","","","English","10.1111/jse.12755","auth,class"
72992,"ref","journal article","Planktic foraminiferal species turnover across deep-sea Aptian/Albian boundary sections",2011,"B. T.","Huber","R. M.","Leckie","","",NA,"Journal of Foraminiferal Research ",NA,NA,NA,NA,NA,NA,"41","1","53","95","English","10.2113/gsjfr.41.1.53","auth,class"
83411,"ref","journal article","A community-derived classification for extant lycophytes and ferns",2016,"PPG.","I","","","","",NA,"Journal of Systematics and Evolution",NA,NA,NA,NA,NA,NA,"54","6","563","603","English","10.1111/jse.12229","auth,class"
55564,"ref","journal article","New angiosperm pollen from the upper Barremian-Aptian of the Western Desert, Egypt",2002,"M. I. A.","Ibrahim","","","","",NA,"Palynology",NA,NA,NA,NA,NA,NA,"26","1","107","133","English","10.1080/01916122.2002.9989569","auth,class"
88514,"ref","journal article","New Upper Cretaceous (Campanian) flora from James Ross Island, Antarctica",2016,"A.","Iglesias","","","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"53","3","358","374","English","http://dx.doi.org/10.5710/AMGH.17.02.2016.2930","auth,class"
