"reference_no","aff_country","samp_country"
54415,"Argentina","Argentina"
80383,"India","China"
80383,"China","China"
80383,"South Korea","China"
80381,"India","China"
80381,"China","China"
80381,"South Korea","China"
80382,"China","China"
80382,"India","China"
80382,"South Korea","China"
80385,"China","China"
80567,"United Kingdom",NA
80567,"China",NA
80592,"China","China"
80780,"United States","China"
80780,"China","China"
80596,"China",NA
55684,"Egypt",NA
78219,"Czech Republic","Slovakia"
78219,"Slovakia","Slovakia"
85251,"United States","United States"
85251,"Switzerland","United States"
85251,"Mexico","United States"
77957,"Portugal","Portugal"
77957,"Germany","Portugal"
77957,"United States","Portugal"
77957,"United Kingdom","Portugal"
77957,"Poland","Portugal"
77957,"Italy","Portugal"
77957,"Ireland","Portugal"
77957,"Austria","Portugal"
76169,"Sweden","Estonia"
77582,"Italy","Cyprus"
78218,"Italy","Slovakia"
78218,"Italy","Czechia"
78218,"Slovakia","Slovakia"
78218,"Slovakia","Czechia"
78031,"France","Australia"
78031,"Spain","Australia"
78031,"Japan","Australia"
78031,"Australia","Australia"
78031,"United States","Australia"
78031,"Germany","Australia"
77706,"Iran","Iran"
61848,"Australia","Australia"
61848,"Spain","Australia"
61848,"United States","Australia"
63835,"France",NA
63835,"Australia",NA
63835,"Germany",NA
63835,"Spain",NA
63835,"Japan",NA
63835,"United States",NA
77597,"Czech Republic","Czechia"
77597,"Italy","Czechia"
73672,"Japan",NA
73672,"United States",NA
52495,"Germany","Sweden"
52495,"Germany","Canada"
54009,"Portugal","Portugal"
54009,"Germany","Portugal"
54009,"Mexico","Portugal"
50226,"Germany","Germany"
50226,"Italy","Germany"
73152,"Iran","Iran"
73152,"United States","Iran"
48420,"Poland","Slovakia"
48182,"United States","United States"
77874,"France","Albania"
77874,"Spain","Albania"
77874,"Australia","Albania"
46944,"Sudan","Sudan"
46944,"Germany","Sudan"
44540,"Slovenia","Slovenia"
44540,"Switzerland","Slovenia"
44540,"Italy","Slovenia"
68028,"Argentina","Argentina"
42281,"Japan","Japan"
50222,"Netherlands","Germany"
50222,"Netherlands","Switzerland"
50222,"Netherlands","Austria"
50222,"Netherlands","Sweden"
50222,"Germany","Germany"
50222,"Germany","Switzerland"
50222,"Germany","Austria"
50222,"Germany","Sweden"
50222,"Italy","Germany"
50222,"Italy","Switzerland"
50222,"Italy","Austria"
50222,"Italy","Sweden"
55628,"Argentina",NA
45355,"Russian Federation","Russia"
45355,"Sweden","Russia"
55725,"Argentina",NA
75386,"Germany",NA
55730,"Brazil",NA
43695,"China","China"
43695,"Australia","China"
42041,"United States","United States"
42041,"United States","Ukraine"
55469,"New Zealand","New Zealand"
55469,"Australia","New Zealand"
50213,"Netherlands","Germany"
50213,"Italy","Germany"
42125,"Russian Federation","Iran"
42125,"Iran","Iran"
39164,"United States",NA
38199,"Nepal","Nepal"
38199,"Belgium","Nepal"
55226,"New Zealand","New Zealand"
55226,"Australia","New Zealand"
77978,"Canada",NA
77978,"New Caledonia",NA
77978,"France",NA
46333,"Germany","Tanzania"
41789,"China","China"
44128,"Spain","Italy"
44128,"Spain","Spain"
44128,"Italy","Italy"
44128,"Italy","Spain"
77555,"China","China"
77555,"France","China"
32524,"France","China"
32524,"China","China"
41869,"China","China"
77598,"Italy","Taiwan"
77598,"Italy","Japan"
77598,"Italy","Iran"
77598,"Japan","Taiwan"
77598,"Japan","Japan"
77598,"Japan","Iran"
77598,"Australia","Taiwan"
77598,"Australia","Japan"
77598,"Australia","Iran"
30296,"France","France"
30296,"Poland","France"
30296,"Netherlands","France"
30296,"Germany","France"
37880,"France",NA
32411,"Slovenia",NA
32411,"France",NA
32411,"Japan",NA
32411,"United States",NA
32411,"Spain",NA
32411,"Switzerland",NA
35420,"Sweden",NA
35420,"United States",NA
35420,"United Kingdom",NA
55849,"Argentina",NA
56200,"Sudan",NA
56200,"Germany",NA
44237,"Italy","Greece"
77858,"Romania","Brazil"
77858,"France","Brazil"
77858,"Brazil","Brazil"
29987,"Mexico","Mexico"
32319,"Russian Federation","Cyprus"
32439,"China","China"
28165,"United States","Italy"
28165,"Turkey","Italy"
28165,"Italy","Italy"
55681,"Egypt",NA
33013,"United States","United States"
85233,"United Kingdom",NA
85233,"Hong Kong",NA
23521,"Spain","Spain"
23821,"Russian Federation","China"
23821,"Belgium","China"
23821,"China","China"
33101,"Japan","Japan"
26227,"Germany","Sweden"
32451,"China","China"
50169,"Netherlands","Italy"
50169,"Italy","Italy"
39165,"United States",NA
39165,"Canada",NA
39165,"France",NA
39165,"Russian Federation",NA
39165,"Denmark",NA
39165,"United Kingdom",NA
39165,"Puerto Rico",NA
25986,"France",NA
25986,"Spain",NA
29168,"United States",NA
29168,"China",NA
25337,"Netherlands",NA
25337,"United Kingdom",NA
13586,"France","Spain"
13586,"Germany","Spain"
13586,"Italy","Spain"
13586,"Switzerland","Spain"
30578,"Germany","Thailand"
30578,"Thailand","Thailand"
30578,"China","Thailand"
25987,"France",NA
25987,"Germany",NA
25993,"France",NA
25993,"Spain",NA
9608,"Germany","Germany"
19792,"United States","Cyprus"
19792,"Turkey","Cyprus"
56236,"Germany",NA
9924,"Germany","Iran"
30581,"China","China"
30581,"Hong Kong","China"
42086,"Germany","Austria"
42086,"Germany","Slovenia"
42086,"Germany","Russia"
24811,"Japan","Thailand"
24811,"Thailand","Thailand"
15478,"United States","Egypt"
15481,"Tunisia","Tunisia"
15481,"Germany","Tunisia"
15481,"Italy","Tunisia"
15481,"United States","Tunisia"
15481,"Switzerland","Tunisia"
7777,"United States","United States"
9386,"Mexico","Mexico"
8506,"Egypt","Egypt"
8506,"Germany","Egypt"
31257,"France","Greece"
31257,"Greece","Greece"
31257,"Switzerland","Greece"
37272,"Canada","Canada"
7779,"China","China"
15475,"United States","Canada"
55852,"India",NA
32452,"China","China"
8499,"United States","Tanzania"
9016,"United States",NA
18623,"Japan","Thailand"
55766,"Egypt",NA
55766,"Germany",NA
30609,"Fiji","Australia"
30609,"Australia","Australia"
30609,"Hong Kong","Australia"
3945,"United States","United States"
42124,"United States","Austria"
42124,"United States","Italy"
42124,"Austria","Austria"
42124,"Austria","Italy"
43358,"Venezuela","Venezuela"
19049,"Indonesia","Indonesia"
19049,"Japan","Indonesia"
30608,"Germany","Australia"
30608,"South Korea","Australia"
13793,"United States",NA
6858,"Italy","Italy"
85520,"United States","United States"
13552,"United States","United States"
13552,"United States","Mexico"
42061,"United States",NA
13633,"Germany","Germany"
58057,"Australia",NA
58057,"Netherlands",NA
8755,"United Kingdom",NA
38390,"United Kingdom",NA
44027,"Spain","Spain"
71637,"Australia",NA
71637,"United Kingdom",NA
15480,"United Kingdom","Tunisia"
15480,"United States","Tunisia"
8483,"United States",NA
7796,"United States","United States"
7796,"Denmark","United States"
7796,"Sweden","United States"
7796,"Australia","United States"
48234,"Argentina","Argentina"
48008,"United States","Argentina"
48008,"Argentina","Argentina"
18618,"Australia","Australia"
55574,"Australia",NA
38834,"Netherlands","Brazil"
32475,"United States","United States"
45354,"United States","Israel"
48058,"United Kingdom",NA
48142,"United Kingdom",NA
55592,"United Kingdom",NA
9199,"France","France"
9199,"France","Spain"
38783,"United States","United States"
31141,"United States","United States"
8553,"United States","Norway"
8553,"United States","United States"
82873,"Canada","Canada"
85136,"United States",NA
9063,"Spain","Spain"
9063,"United Kingdom","Spain"
77554,"Japan","Japan"
