reference_no,publication_type,reftitle,pubyr,author1last,pubtitle,language,doi,aff1,aff2,aff3,aff4,aff5,aff6,aff7,aff8,aff9
43854,journal article,"Esporas del Mioceno y retrabajadas del Mesozoico en la Formación Chiquimil, Vallecito, provincia de Catamarca",2000,Mautino,Ameghiniana,Spanish,,Argentina,,,,,,,,
46609,journal article,"Palinología del Paleogeno tardío-Neógeno temprano, pozo Aries x-1, plataforma Continental Argentina, Tierra del Fuego",2000,Palamarczuk,Ameghiniana,Spanish,,Argentina,,,,,,,,
78640,journal article,Plant megafossils from the Siwalik sediments of Bhutan and their climatic significance,2000,Prasad,Biological Memoirs,English,,India,,,,,,,,
4262,journal article,Late Campanian-Maastrichtian corals from the United Arab Emirates-Oman border region,2000,Baron-Szabo,Bulletin of the Natural History Museum of London (Geology),,,Germany,,,,,,,,
8820,book/book chapter,"The Plant-Book, 2nd ed.",2000,Mabberley,"Cambridge University Press, Cambridge, UK, 858 p.",,,,,,,,,,,
83246,journal article,"Tetrataxidae, Palaeotextulariidae y Biseriamminidae (Foraminiferida) del Mississippiense del Área del Guadiato (Córdoba, España)",2000,Cozár,Coloquios de Paleontología,Spanish,,Spain,,,,,,,,
74030,journal article,"Fossil coralline algae from the Paleocene Montorfano Member type-section (Tabiago Formation, northern Italy)",2000,Stockar,Eclogae Geologicae Helvetiae,English,http://doi.org/10.5169/seals-168831,Switzerland,,,,,,,,
36450,journal article,"Les algues dasycladales du Permien et du Trias: nouvelle tentative d' inventaire bibliographique, géographique et stratigraphique",2000,Granier,Geologica Croatica,French,,France,Croatia,,,,,,,
9348,book/book chapter,A sequence stratigraphic reference section for the Tithonian of Lebanon,2000,Toland,"Middle East models of Jurassic/Cretaceous carbonate systems. SEPM, Special Publication",,,UK,,,,,,,,
44169,journal article,"Taxonomic and biostratigraphical re-assessments of Subterraniphyllum Elliott (Corallinales, Rhodophyta)",2000,Bassi,Palaeontology,English,,Italy,Australia,Germany,,,,,,
82875,journal article,"Bangiomorpha pubescens n. gen., n. sp.: implications for the evolution of sex, multicellularity, and the Mesoproterozoic/Neoproterozoic radiation of eukaryotes",2000,Butterfield,Paleobiology,English,10.1666/0094-8373(2000)026<0386:BPNGNS>2.0.CO;2,UK,,,,,,,,
8954,journal article,Neuralethopterids (Trigonocarpalean Pteridosperms) from the Early Pennsylvanian of eastern North America,2000,Goubet,PaleoBios,,,,,,,,,,,
41874,journal article,New taxa of foraminifera from the Bashkirian of the Urals,2000,Ivanova,Paleontological Journal,English,,Russia,,,,,,,,
10118,journal article,Obertriadische (Nor) Dasycladaceen aus der Nayband-Formation vom Zentraliran,2000,Senowbari-Daryan,Revue Paléobiologie,German,,Germany,Iran,,,,,,,
77827,journal article,Revision and re-documentation of M. Airoldi's species of Archaeolithothamnium from the Tertiary Piedmont Basin (nw Italy),2000,Vannucci,Rivista Italiana di Paleontologia e Stratigrafia,English,,Italy,,,,,,,,
77565,journal article,"贵州紫云晒瓦群中放射虫Neoalbaillella 动物群的发现 (Discovery of the Neoalbaillella radiolarian fauna in the Shaiwa Group of Ziyun District, Guizhou)",2001,Wang,Acta Micropalaeontologica Sinica,Chinese,,China,,,,,,,,
43867,journal article,"Maderas fósiles de Combretaceae de la Formación El Palmar (Pleistoceno), Entre Ríos, Argentina",2001,Brea,Ameghiniana,Spanish,,Argentina,,,,,,,,
13736,book/book chapter,Radiolarians in the sedimentary record,2001,De Wever,London (Gordon & Breach Sc),English,,,,,,,,,,
75778,journal article,"Late Cretaceous diatoms (Bacillariophyceae) from the Marca shale member of the Moreno formation, California",2001,Nikolaev,Occasional papers of the California Academy of Sciences,English,,Russia,USA,,,,,,,
77671,journal article,Palaeocene Rhodophycean algae from the Ninniyur Formation of the Cauvery Basin southern India,2001,Misra,Palaeobotanist,English,,India,,,,,,,,
7828,journal article,"Middle Paleogene palynology of Central Colombia, South America: A study of pollen and spores from tropical latitudes",2001,Jaramillo,Palaeontographica Abteilung B,English,10.1127/palb/258/2001/87,USA,,,,,,,,
45840,journal article,"Jurinodendron-a New Replacement Name for Cyclostigma S. Haughton ex 0. Heer, 1871 (Lycopodiophyta)",2001,Doweld,Paleontologicheskii Zhurnal,Russian,,Russia,,,,,,,,
49488,journal article,"Middle Cretaceous Microflora from the Huincul Formation (""Dinosaurian Beds"") in theNeuquén Basin, Patagonia, Argentina",2001,Vallati,Palynology,English,10.2113/0250179,Argentina,,,,,,,,
27966,journal article,"Grupo Bauru: uma unidade continental do Cretáceo no Brasil – concepções baseadas em dados micropaleontológicos, isotópicos e estratigráficos [Bauru Group: a continental unit from the Cretaceous of Brazil – concepts based on micropaleontological, isotopic, and stratigraphic data]",2001,Dias-Brito,Revue de Paléobiologie,Portugese,,Brazil,Argentina,,,,,,,
80661,journal article,Fossil wood and foliage of Castanea (Fagaceae) from the Upper Oligocene of northern Bohemia,2001,Sakala,Vûstník âeského geologického ústavu [Bulletin of the Czech Geological Survey],English,,Czech Republic,,,,,,,,
72298,journal article,The mangrove palem Nypa in the geologic past of the New World,2001,Gee,Wetlands Ecology and Management,English,,Germany,,,,,,,,
55420,Ph.D. thesis,"Paleoenvironmental reconstruction based on palynological and palynofacies analyses of the Aptian-Albian succession in the Sergipe Basin, northeastern Brazil",2001,Araujo Carvalho,,English,,Germany,,,,,,,,
45836,book,Prosyllabus Tracheophytorum. Tentamen Systematis Plantarum Vascularium,2001,Doweld,,English,,Russia,,,,,,,,
43893,journal article,"Palinología de la Formación Chiquimil (Mioceno Superior), en Río Vallecito, provincia de Catamarca, Argentina. Parte 2. Polen",2002,Mautino,Ameghiniana,Spanish,,Argentina,,,,,,,,
43933,journal article,"Palinología de la Formación Chiquimil (Mioceno Superior), en Río Vallecito, provincia de Catamarca, Argentina. Parte 3. Polen",2002,Mautino,Ameghiniana,Spanish,,Argentina,,,,,,,,
55144,journal article,"Nueva microflora de edad maastichtiana en la localidad de Calmu-Co, sur de Mendoza, Argentina",2002,Papú,Ameghiniana,Spanish,,Argentina,,,,,,,,
6930,serial monograph,A compendium of fossil marine animal genera,2002,Sepkoski,Bulletins of American Paleontology,English,,USA,,,,,,,,
32745,journal article,"A new Tertiary Ceratozamia (Zamiaceae, Cycadopsida) from the European Oligocene",2002,Kvacek,Flora,English,,Czech Republic,,,,,,,,
32433,journal article,"Uppermost Changxingian (Permian) radiolarian fauna from southern Guizhou, southwestern China",2002,Feng,Journal of Paleontology,English,10.1666/0022-3360(2002)076<0797:ucprff>2.0.co;2,China,,,,,,,,
30606,journal article,"Late Cambrian radiolarian faunas and biostratigraphy of the Cow Head Group, western Newfoundland",2002,Won,Journal of Paleontology,English,10.1017/s0022336000017315,South Korea,Canada,,,,,,,
35535,journal article,"Macroscopic carbonaceous compressions in a terminal Proterozoic shale: a systematic reassessment of the Miaohe biota, south China",2002,Xiao,Journal of Paleontology,English,10.1017/s0022336000041743,USA,China,Germany,UK,,,,,
13548,journal article,Mass spawning in ancient reef communities: Evidence from Late Paleozoic phylloid algae,2002,Forsythe,Palaios,,10.1669/0883-1351(2002)017<0615:msiarc>2.0.co;2,UK,,,,,,,,
45845,journal article,"Annulina M.F. Neuburg: Illegitimate generic name replaced by Umbellaphyllites Rasskazova, 1961 (Equisetophyta)",2002,Doweld,Paleontologicheskii Zhurnal,Russian,,Russia,,,,,,,,
49056,journal article,"Paleoflora de la Formación Ligorio Márquez (XI Región, Chile) en su localidad tipo: sistemática, edad e implicancias paleoclimáticas",2002,Troncoso,Revista Geológica de Chile,English,10.4067/S0716-02082002000100007 ,Chile,,,,,,,,
16637,journal article,"Late Triassic (Late Norian-Rhaetian) radiolarians from the Antalya Nappes, Central Taurides, Southern Turkey",2002,Tekin,Rivista Italiana di Paleontologia e Stratigrafia,English,,Turkey,,,,,,,,
70346,journal article,Origins of Polyploidy in Coast Redwood (Sequoia sempervirens (D. DON) ENDL.) and Relationship of Coast Redwood to other Genera of Taxodiaceae,2002,Ahuja,Silvae Genetica,English,,USA,,,,,,,,
58180,journal article,"Nuevos hallazgos de palinomorfos en la Formación La Amarga, Miembro Bañados de Caichigüe, cuenca Neuquina sud oriental, Argentina",2002,Pramparo,,Spanish,,Argentina,,,,,,,,
48162,journal article,"Palinología de la Formación kachaike, Cretácico Inferior de la Cuenca Austral, provincia de Santa Cruz. I-Esporas lisas y cinguladas",2003,Archangelsky,Ameghiniana,Spanish,,Argentina,,,,,,,,
