"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type","aff"
31257,"ref","journal article","Late Wuchiapingian (Late Dzhulfian, early Late Permian) limestone olistolites within the Tertiary flysch of Glypia Unit (Mount Parnon, central-eastern Peloponnesus, Greece)",2002,"E.","Skourtsos","D.","Vachard","A. Zambetakis-Lekkas, R. Martini, L. Zaninetti","",NA,"Comptes Rendus Geoscience",NA,NA,NA,NA,NA,NA,"334","","925","931","English","10.1016/s1631-0713(02)01830-8","auth,class","France;Greece;Switzerland"
37272,"ref","journal article","Permineralized pine cones from the Cretaceous of Vancouver Island, British Columbia",2002,"S. Y.","Smith","R. A.","Stockey","","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"163","1","185","196","English","10.1086/324553","auth","Canada"
7779,"ref","journal article","Archaefructaceae, a New Basal Angiosperm Family",2002,"G.","Sun","Q.","Ji","D. L. Dilcher, S. Zheng, K. C. Nixon, X. Wang","",NA,"Science",NA,NA,NA,NA,NA,NA,"296","","899","904","English","10.1126/science.1069439","auth,class","China"
15475,"ref","journal article","Upper Cretaceous diatom biostratigraphy of the Arctic archipelago and northern continental margin, Canada",2002,"P. M.","Tapia","D. M.","Harwood","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"48","4","303","342","English","10.2113/48.4.303","auth,class","United States"
55852,"ref","journal article","An Early Cretaceous age for the Rajmahal traps, Panagarh area, West Bengal: palynological evidence",2002,"A.","Vijaya","T. K.","Bhattacharji","","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"23","","789","805","English","10.1006/cres.2002.1030","auth,class","India"
32452,"ref","journal article","Middle Triassic radiolarian fauna from southwest Yunnan, China",2001,"Q.","Feng","Z.","Zhang","M. Ye","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"47","3","173","204","English","10.2113/47.3.173","auth,class","China"
8499,"ref","journal article","Fossil Legumes from the Middle Eocene (46.0 Ma) Mahenge Flora of Singida, Tanzania",2000,"P. S.","Herendeen","B. F.","Jacobs","","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"87","9","1358","1366","","10.2307/2656727","auth","United States"
9016,"ref","journal article","Gleichenipteris antarcticus gen. et sp. nov. from the Triassic of Antarctica",2000,"C. J.","Phipps","B. J.","Axsmith","T. N. Taylor, E. L. Taylor","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"108","","75","83","","10.1016/s0034-6667(99)00034-2","auth","United States"
18623,"ref","journal article","Late Permian to Middle Triassic radiolarian faunas from northern Thailand",2000,"K.","Sashida","H.","Igo","S. Adachi, K. Ueno, Y. Kajiwara, N. Nakornsri, A. Sardsud","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"74","5","789","811","English","10.1017/s0022336000033011","auth,class","Japan"
55766,"ref","journal article","New taxa of angiosperm pollen, miospores and associated palynomorphs from the early Late Cretaceous of Egypt (Maghrabi Formation, Kharga Oasis)",2000,"E.","Schrank","M. S.","Mahmoud","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"112","","167","188","English","10.1016/s0034-6667(00)00040-3","class","Egypt;Germany"
30609,"ref","journal article","Lower and Middle Devonian Radiolarian Biozonation of the Gamilaroi Terrane New England Orogen, Eastern Australia",1999,"J. C.","Aitchison","A. M.","Davis","J. M. C. Stratford, F. C. P. Spiller","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"45","2","138","162","English","10.2307/1486110","class","Fiji;Australia;Hong Kong"
3945,"ref","journal article","An Upper Triassic upland flora from north-central New Mexico, U.S.A",1999,"S.","Ash","","","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"105","","183","199","","10.1016/s0034-6667(98)00075-x","class","United States"
42124,"ref","journal article","Fusulinid assemblages and facies of the Bombaso Fm. and basal Meledis Fm. (Moscovian-Kasimovian) in the central Carnic alps (Austria/Italy)",1999,"V.","Davydov","K.","Krainer","","",NA,"Facies",NA,NA,NA,NA,NA,NA,"40","","157","196","English","10.1007/bf02537473","auth,class","United States;Austria"
43358,"ref","journal article","Palaeofloristic and palaeovegetational changes across the Paleocene/Eocene boundary in northern South America",1999,"V.","Rull","","","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"107","","83","95","English","10.1016/s0034-6667(99)00014-7","auth","Venezuela"
19049,"ref","journal article","Middle Triassic Radiolarians from West Timor, Indonesia",1999,"K.","Sashida","Y.","Kamata","S. Adachi, Munasri","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"73","5","765","786","English","10.1017/s0022336000040646","auth,class","Indonesia;Japan"
30608,"ref","journal article","Cambrian Radiolaria from the Georgina Basin, Queensland, Australia",1999,"M.-Z.","Won","R.","Below","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"45","4","325","363","English","10.2307/1486119","auth","Germany;South Korea"
13793,"ref","journal article","A phylogenetic study of the Corallinales (Rhodophyta) based on nuclear small-subunit rRNA gene sequences",1998,"J. C.","Bailey","R. L.","Chapman","","",NA,"Journal of Phycology",NA,NA,NA,NA,NA,NA,"34","","692","705","English","10.1046/j.1529-8817.1998.340692.x","auth","United States"
6858,"ref","journal article","Coralline algal facies and their palaeoenvironments in the Late Eocene of northern Italy (Calcare di Nago, Trento)",1998,"D.","Bassi","","","","",NA,"Facies",NA,NA,NA,NA,NA,NA,"39","","179","202","English","10.1007/bf02537016","auth","Italy"
85520,"ref","journal article","Upper Paleocene and Lowermost Eocene Angiosperm Pollen Biostratigraphy of the Eastern Gulf Coast and Virginia",1998,"N. O.","Frederiksen","","","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"44","1","45","68","English","10.2307/1486084","auth,class","United States"
13552,"ref","journal article","Upper Jurassic Tethyan and Southern Boreal radiolarians from western North America",1997,"D. M.","Hull","","","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"43","S2","1","202","English","10.2307/1486020","class","United States"
42061,"ref","journal article","Fusulinids from piston cores, Northwind Ridge, Amerasia Basin, Arctic Ocean",1997,"C. H.","Stevens","C. A.","Ross","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"71","","357","360","English","10.1017/s0022336000039378","class","United States"
13633,"ref","journal article","Discovery of a radiolarian fauna from the Tithonian of the Solnhofen area (Southern Franconian Alb, southern Germany)",1997,"P.","Zügel","","","","",NA,"Paläontologische Zeitschrift",NA,NA,NA,NA,NA,NA,"71","03-Apr","197","209","","10.1007/bf02988488","class","Germany"
58057,"ref","journal article","Mesozoic palynomorphs from the North West Shelf, offshore Western Australia",1996,"D.","Burger","","","","",NA,"Palynology",NA,NA,NA,NA,NA,NA,"20","","49","103","English","10.1080/01916122.1996.9989470","auth,class","Australia;Netherlands"
8755,"ref","journal article","Taxonomy and palaeoecology of Early Cretaceous (Late Albian) angiosperm leaves from Alexander Island, Antarctica",1996,"D. J.","Cantrill","G. J.","Nichols","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"92","01-Feb","1","28","English","10.1016/0034-6667(95)00105-0","auth","United Kingdom"
38390,"ref","journal article","The stratigraphy, sedimentology and palaeontology of the Lower Weald Clay (Hauterivian) at Keymer Tileworks, West Sussex, southern England",1996,"E.","Cook","A. J.","Ross","","",NA,"Proceedings of the Geologists' Association",NA,NA,NA,NA,NA,NA,"107","","231","239","English","10.1016/s0016-7878(96)80031-9","auth,class","United Kingdom"
44027,"ref","journal article","Taxonomy of fossil coralline algal species: Neogene Lithophylloideae (Rhodophyta, Corallinaceae) from southern Spain",1995,"J. C.","Braga","J.","Aguirre","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"86","","265","285","English","10.1016/0034-6667(94)00135-7","auth,class","Spain"
71637,"ref","journal article","Late Triassic plant fossils from the Prince Charles Mountains, East Antarctica",1995,"D. J.","Cantrill","A. N.","Drinnan","J. A. Webb","",NA,"Antarctic Science",NA,NA,NA,NA,NA,NA,"7","1","51","62","English","10.1017/s0954102095000095","auth,class","Australia;United Kingdom"
15480,"ref","journal article","The Cretaceous/Tertiary boundary stratotype section at El Kef, Tunisia: how catastrophic was the mass extinction?",1995,"G.","Keller","L.","Li","N. MacLeod","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"119","","221","254","English","10.1016/0031-0182(95)00009-7","auth,class","United Kingdom;United States"
8483,"ref","journal article","Fossil flowers and pollen of Lauraceae from the Upper Cretaceous of New Jersey",1994,"P. S.","Herendeen","W. L.","Crepet","K. C. Nixon","",NA,"Plant Systematics and Evolution",NA,NA,NA,NA,NA,NA,"189","","29","40","","10.1007/bf00937576","auth","United States"
7796,"ref","journal article","Reproductive structures of an extinct platanoid from the Early Cretaceous (latest Albian) of eastern North America",1994,"K. R.","Pedersen","E. M.","Friis","C. R. Crane, A. N. Drinnan","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"80","","291","303","","10.1016/0034-6667(94)90006-x","auth","United States;Denmark;Sweden;Australia"
48234,"ref","journal article","Lower Cretaceous palynoflora of the La Cantera Formation, San Luis Basin: correlation with other Cretaceous palynofloras of Argentina",1994,"M. B.","Prámparo","","","","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"15","","193","203","English","10.1006/cres.1994.1010","auth","Argentina"
48008,"ref","journal article","Palynoogy of the Lower Lefipan Formation (Upper Cretaceous) of Barranca de los Perros, Chubut Province, Argentina. Part II. Angiosperm pollen and discussion",1993,"A. M.","Baldoni","R. A.","Askin","","",NA,"Palynology",NA,NA,NA,NA,NA,NA,"17","","241","264","English","10.1080/01916122.1993.9989429","auth,class","United States;Argentina"
18618,"ref","journal article","Shelly fossils from the Early Cambrian (Toyonian) Wirrealpa, Arrona Creek, and Ramsay Limestones of South Australia",1993,"G. A.","Brock","B.J.","Cooper","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"67","5","758","787","English","10.1017/s0022336000037045","auth,class","Australia"
55574,"ref","journal article","Early and middle Cretaceous angiosperm pollen grains from Australia",1993,"D.","Burger","","","","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"78","","183","234","English","10.1016/0034-6667(93)90065-3","auth,class","Australia"
38834,"ref","journal article","Marine incursions and the influence of Adean tectonics on the Miocene depositional history of northwestern Amazonia: results of a palynostratigraphic study",1993,"C.","Hoorn","","","","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"105","","267","309","English","10.1016/0031-0182(93)90087-y","class","Netherlands"
32475,"ref","journal article","Permian and Early(?) Triassic radiolarian faunas from the Grindstone Terrane, central Oregon",1992,"C. D.","Blome","K. M.","Reed","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"66","3","351","383","English","10.1017/s0022336000033941","auth,class","United States"
45354,"ref","journal article","Palynology and age of the Lower Cretaceous basal Kurnub Group from the coastal plain to the Northern Negev of Israel",1992,"G. J.","Brenner","I. S.","Bickoff","","",NA,"Palynology",NA,NA,NA,NA,NA,NA,"16","","137","185","English","10.1080/01916122.1992.9989411","auth","United States"
48058,"ref","journal article","Palynology of the Marambio Group (Upper Cretaceous) of northern Humps Island",1992,"P. J. D.","Dolding","","","","",NA,"Antartic Science",NA,NA,NA,NA,NA,NA,"4","3","311","326","English","10.1017/s0954102092000476","auth,class","United Kingdom"
